order,aggression,stress,tension,suspicious,balance,confidence,vitality,self_regulation,depression,neuroticism
61,40.60308743,30.85758451,64.59946378,33.09006744,64.04536886,74.719597,23.07718151,69.30966445,16.68698002,32.32536969
62,40.73831379,30.99278445,64.71701975,33.29584325,63.8889803,74.55262735,22.85960783,69.16266663,16.85043144,32.51701975
63,40.53010309,30.60912371,64.30159793,32.94891752,64.12850516,74.82097938,22.87365979,69.25860825,16.67525773,32.10536082
64,41.03572368,30.97933171,64.62293975,33.21015582,63.88984418,74.5616482,22.67443213,68.9616482,16.85376385,32.39474377
65,40.56234695,30.91724496,64.57887761,33.18295922,63.84510199,74.52112239,22.51153056,68.96908159,16.97408169,32.42204088
66,40.67803195,30.91251306,64.53001045,33.12579662,63.84393609,74.51788264,22.50051366,68.96130506,17.01685531,32.41685531
67,40.59130619,31.05264274,64.73342039,33.24119682,63.79633052,74.46269139,22.60685907,68.98763671,16.9940583,32.53822598
68,40.64331603,30.82544681,64.54634706,33.14184579,64.00891197,74.68502596,22.91492875,69.23132774,16.74630178,32.33141831
69,41.12493287,31.23130442,64.88255079,33.3520791,63.7479209,74.40359942,22.6695283,68.88337809,16.96343614,32.62050072
70,40.54148741,30.54903057,64.24525899,32.9641169,64.15096943,74.84719785,22.84342626,69.25851259,16.64903057,32.0641169
71,39.89537709,29.75584873,63.54886764,32.34188655,64.99066073,75.64415127,23.73717018,69.99764182,15.80933927,31.30235818
72,40.66859016,30.74820217,64.44351911,33.16693441,63.99394537,74.67521313,22.7360929,69.15482514,16.79200546,32.29503277
73,40.14033033,30.03389747,63.79261905,32.54400043,64.72115401,75.38445303,23.4651952,69.75142214,16.07150579,31.55591806
74,40.63478331,30.62928195,64.31552855,33.00727651,64.10372621,74.79547417,22.81472893,69.20372621,16.68527107,32.12378059
75,40.59034754,30.63451744,64.31644794,32.98432437,64.09760612,74.78957523,22.80162157,69.19760612,16.70239388,32.12447883
76,40.77244675,30.83871758,64.52767244,33.12826619,63.99382408,74.67173381,22.83004746,69.14168635,16.76199536,32.30558216
77,40.70379167,31.14534028,64.89871429,33.22024405,63.90401686,74.56034722,23.1232004,69.24177381,16.78438294,32.56285318
78,40.06054115,29.95912757,63.72673662,32.49434568,64.77467696,75.44087243,23.50848148,69.8070679,16.02532304,31.4929321
79,40.77368729,31.18421822,64.73271276,33.25677093,63.59397815,74.24999269,22.20111996,68.72818906,17.33309095,32.70376731
80,40.69922922,31.27262063,64.82198391,33.32761394,63.50512735,74.15653486,22.08850537,68.65371985,17.43093163,32.80663538
81,40.59846875,31.38621879,65.03698442,33.54004691,63.46148434,74.11224996,22.11224996,68.61071872,17.33851566,32.88621879
82,40.00642581,29.89252407,63.66845856,32.44439305,64.84544317,75.50747593,23.58341042,69.86950868,15.95455683,31.43049132
83,40.01741278,29.90604649,63.68029068,32.45453487,64.8310756,75.49395351,23.56819769,69.85683141,15.9689244,31.44316859
84,40.52168352,30.68172853,64.37450069,33.02700346,64.05544322,74.74511773,22.76163851,69.17196399,16.74145914,32.17966343
85,40.51122268,30.55237249,64.25985428,32.92244535,64.18129554,74.87755465,22.93740892,69.30748178,16.60748178,32.04489071
86,40.71263628,30.91724855,64.64132058,33.10862427,64.01143575,74.68335172,23.03640818,69.24383193,16.71233615,32.35305646
87,40.55365649,30.66096946,64.31804427,32.97511908,64.04976183,74.73903054,22.71756794,69.16049313,16.79316336,32.17170076
88,40.41402844,30.54503272,64.22865719,32.86315505,64.21637554,74.88771835,22.95322049,69.33275107,16.62046942,32.06140826
89,39.8920756,29.75178535,63.54531218,32.33883901,64.99497807,75.64821465,23.74174148,70.00145124,15.80502193,31.29854876
90,40.86351792,30.90467089,64.55665909,33.27037674,63.86048798,74.53305267,22.55362916,68.98106447,16.93265319,32.4321062
91,40.63103829,30.89311486,64.48828423,33.0834536,63.8330928,74.50688514,22.45446983,68.95930045,17.07173783,32.41932252
92,40.75528703,30.95642227,64.56359062,33.20943883,63.78612557,74.45518169,22.4242378,68.91706945,17.08349817,32.49510212
93,40.62639068,31.08982319,64.87408365,33.15278137,63.98934886,74.64721863,23.32130228,69.38426046,16.68426046,32.50556274
94,40.7128142,31.1384426,64.66819124,33.19793988,63.60412024,74.2615574,22.17643172,68.74668308,17.36613112,32.68100544
95,40.51629639,30.54888918,64.23585207,32.92281495,64.1543701,74.85111082,22.84459226,69.25762938,16.65866702,32.05214846
96,40.36368033,30.52210589,64.28842357,32.83368232,64.35842557,75.02526673,23.34948649,69.55790209,16.3863097,32
97,40.99454454,30.96545369,64.61454469,33.26363569,63.86545516,74.53636431,22.61636416,68.95818245,16.89090855,32.42909012
98,39.95335985,29.82721212,63.6113106,32.39540909,64.91483712,75.57278788,23.65688637,69.93073864,15.88516288,31.36926136
99,40.68717789,31.32358273,64.95807046,33.47089257,63.52148014,74.17468567,22.18404456,68.65891572,17.28787875,32.81422383
100,40.84907936,30.89036831,64.56409352,33.23781873,63.91097731,74.58470252,22.67854105,69.04851272,16.85524082,32.39412185
101,40.59494138,31.29569917,64.96405204,33.45608522,63.56705748,74.2218473,22.29418359,68.73939377,17.21937947,32.78665713
102,40.54467242,30.6374536,64.36150798,32.97559948,64.1828183,74.85876392,23.04776262,69.34467242,16.57938196,32.12714458
103,40.62575178,30.88868732,64.4857995,33.10577564,63.84179796,74.50750202,22.45796344,68.96847258,17.06490052,32.43441524
104,40.60763399,30.70548307,64.40548307,33.00372002,64.09040903,74.77671016,22.91369887,69.24324753,16.68610719,32.18004231
105,40.64009702,30.66269331,64.35365479,33.15307848,64.04182595,74.71922966,22.71019114,69.1689415,16.75817405,32.2395207
106,41.10414785,31.13553215,64.74530228,33.3236881,63.73708152,74.39785114,22.48808101,68.8253124,17.03938025,32.57668658
107,40.65898018,30.97694053,64.54975639,33.12257225,63.75485551,74.42305947,22.3594674,68.88665154,17.17232863,32.50873656
108,40.64030721,31.0540336,64.71805739,33.26695732,63.76828551,74.43590692,22.5006641,68.91505458,17.02811687,32.53964311
109,41.20877234,31.18025851,64.81508404,33.32770744,63.77636596,74.43563192,22.64744894,68.86821915,16.93809255,32.56212978
110,40.48510024,30.60131834,64.33707775,32.96555892,64.21489976,74.8880802,23.09071687,69.39237848,16.54934083,32.11025819
111,41.21747149,31.21747149,64.8382701,33.37054949,63.7201327,74.37820255,22.52728754,68.78752036,17.00532481,32.60565775
112,40.55586175,30.60773337,64.3117235,32.99177287,64.12817775,74.8201975,22.88004938,69.26408888,16.65985187,32.11571362
113,39.90681504,29.76992621,63.56118543,32.35244465,64.97570341,75.63007379,23.72133302,69.98444418,15.82429659,31.31555582
114,40.8773072,30.90749177,64.55919645,33.25919645,63.86796967,74.54080355,22.57098812,68.98306195,16.9199565,32.42258406
115,40.84597836,30.8737802,64.54597836,33.21199834,63.92815986,74.60344712,22.6930308,69.05596169,16.83786012,32.36760201
116,41.11783135,31.06351651,64.69901763,33.29378262,63.81979609,74.48584931,22.60466304,68.89603335,16.91909971,32.48543892
117,40.77920836,31.07836018,64.8142584,33.22308396,63.92079164,74.58090473,23.05555894,69.21623749,16.77949109,32.51454113
118,40.91696213,31.00802283,64.66009614,33.28341345,63.82617188,74.49262321,22.60764724,68.9693059,16.94986478,32.49843749
119,40.06406492,29.96346451,63.73053145,32.49759839,64.77006895,75.43653549,23.50360242,69.80300202,16.02993105,31.49699798
120,40.65808545,30.97425634,64.54778799,33.12131963,63.75736074,74.42574366,22.36250948,68.88897783,17.16910761,32.50587343
121,40.63294717,30.64605463,64.33669216,33.00485974,64.10450274,74.79514026,22.84569764,69.21573771,16.6786448,32.13294717
122,40.56226919,30.74492549,64.38680758,33.00378199,63.99243602,74.67167963,22.67583091,69.11941934,16.86775753,32.25945497
123,40.59327016,30.58946322,64.27994585,32.97423543,64.13337846,74.82766804,22.84099235,69.23337846,16.65900765,32.08565627
124,40.70469579,30.69876258,64.37206313,33.02459744,64.06501944,74.75315302,22.7917189,69.15611963,16.72014753,32.16909652
125,40.63538977,30.95248687,64.62398376,33.25272598,63.82589669,74.49739358,22.54014824,68.98290291,16.9776662,32.47742709
126,40.58962106,30.61949475,64.29708948,32.9672158,64.10664473,74.7991763,22.80664473,69.20664473,16.7008237,32.11202633
127,40.57990889,30.89954443,64.64564571,33.08747854,64.03096197,74.70330121,23.09669879,69.30614684,16.69527598,32.35036973
128,39.98802497,29.86987689,63.64864228,32.42740767,64.86950581,75.53012311,23.6088885,69.89074042,15.93049419,31.40925958
129,40.83021679,30.81079227,64.47679937,33.14280646,63.97661805,74.65719354,22.71061096,69.07176192,16.79424517,32.28651163
130,40.99917143,30.94662707,64.59408271,33.18899398,63.91100602,74.58473384,22.68982256,68.98473384,16.83644962,32.36781053
131,40.66737993,31.00213978,64.56823584,33.1343319,63.73133621,74.39786022,22.33090825,68.86481219,17.20256773,32.53561576
132,40.46459783,30.37166712,64.08936821,32.78051767,64.43011412,75.09471195,23.19206792,69.47258559,16.34333425,31.85396604
133,40.63478479,31.2124339,64.97982629,33.25621695,63.86303802,74.5149006,23.13105964,69.24223509,16.82143216,32.63541402
134,40.63904098,30.66432116,64.35168107,33.11488152,64.03567884,74.72303875,22.71039866,69.16095902,16.76432116,32.21488152
135,40.6162991,30.91622837,64.55195782,33.10505368,63.8664052,74.53886068,22.60007073,69.03067576,16.98868385,32.42234938
136,41.32230361,31.23574534,64.84918706,33.37607051,63.72392949,74.38065035,22.5537669,68.78065035,16.98951224,32.60590792
137,40.774339,30.90892039,64.52610107,33.12257692,63.86872272,74.54284169,22.5531941,68.97389893,16.97268694,32.39339177
138,41.14053771,31.07311268,64.70568766,33.27083762,63.82916238,74.49544987,22.63029991,68.89544987,16.9034126,32.47197515
139,39.9729503,29.85132344,63.63240801,32.41349258,64.88921884,75.54867656,23.62976113,69.90813427,15.91078116,31.39186573
140,41.34618928,31.33640674,64.94347266,33.44782196,63.64239551,74.29348283,22.46956846,68.70326537,17.06956168,32.70434252
141,40.54090639,30.62271916,64.28999405,32.95726894,64.08546212,74.77728084,22.76091829,69.1936434,16.74726299,32.13090043
142,40.65790214,31.26390493,64.91696105,33.44625604,63.5769267,74.23425045,22.25132095,68.71106771,17.21453805,32.75110206
143,40.97559635,30.92553357,64.5754708,33.17534525,63.92465475,74.59962336,22.69974891,68.99962336,16.82528248,32.35043941
144,40.5796544,30.91232864,64.65449862,33.10147877,64.01257789,74.68446457,23.05930879,69.28125779,16.71713882,32.36547312
145,40.62139503,31.06651015,64.84744017,33.14279006,63.99767495,74.65720994,23.30465011,69.38093002,16.68093002,32.48558013
146,40.19536984,30.12507057,63.87193675,32.61880293,64.59836252,75.27492943,23.32179561,69.65149634,16.20163748,31.64850366
147,39.87851738,29.73509832,63.53071103,32.32632374,65.01270804,75.66490168,23.76051439,70.01709533,15.78729196,31.28290467
148,40.12334992,30.03389552,63.79510116,32.58455555,64.69906136,75.36139635,23.42260199,69.74256385,16.10093864,31.58568491
149,40.6774804,31.0324412,64.59045688,33.14847256,63.70305488,74.3675588,22.29656664,68.83855096,17.23892943,32.56793728
150,40.66225438,31.08661197,64.66180091,33.21202764,63.66747282,74.3300295,22.27178434,68.80491614,17.2490175,32.61573455
151,40.55252496,30.74511648,64.48013312,33.00504992,64.1124584,74.79495008,23.0750832,69.33501664,16.63501664,32.21009984
152,40.60080292,30.64840431,64.34560422,33.05960463,64.07679643,74.7655961,22.80199716,69.21319748,16.71480333,32.17640512
153,40.92489125,30.96535708,64.59251858,33.17921425,63.86413359,74.5358075,22.60055284,68.95199384,16.92777325,32.4127515
154,40.68201876,30.66285889,64.34369902,33.00537928,64.09462072,74.78504078,22.82336052,69.18504078,16.68621941,32.13411909
155,41.0398883,31.07971613,64.71776173,33.2495998,63.82384832,74.4884458,22.65660773,68.93269894,16.92747323,32.49563516
156,40.3955741,30.36772719,64.08861237,32.85126791,64.34619626,75.02531108,23.04619626,69.43227281,16.45380374,31.90949755
157,41.01886098,31.00741552,64.66163367,33.21665781,63.88715735,74.55663611,22.7245029,68.98715735,16.84798503,32.41966697
158,40.6057256,30.65535191,64.34240591,33.02514459,64.07917074,74.76838241,22.80290506,69.20290506,16.71867159,32.16398257
159,40.75933078,30.7320328,64.40473482,33.05013887,64.04986113,74.73621214,22.79080809,69.13621214,16.72284089,32.19108584
160,40.62524907,30.72839536,64.37682221,33.01788147,64.00475881,74.69002362,22.68265603,69.1121264,16.83207915,32.22839536
161,39.99714017,29.88109559,63.65845864,32.43582169,64.85758593,75.51890441,23.59626746,69.88022288,15.94241407,31.41977712
162,40.38994939,30.36455309,64.08148396,32.79841482,64.34391234,75.03544691,23.05237777,69.42698148,16.45608766,31.87301852
163,40.65557905,30.80716889,64.43536317,33.05557905,63.93272318,74.61277715,22.59682032,69.0446908,16.92312571,32.31115809
164,41.14629686,31.17341421,64.77398392,33.31127982,63.72544636,74.38477034,22.49323974,68.80284857,17.04743629,32.5875426
165,40.56659801,30.79303124,64.46972194,33.10312393,63.95858222,74.64193272,22.64526262,69.07190182,16.84474768,32.28970134
166,40.69549271,30.67985329,64.35952205,33.02980716,64.07644861,74.76550101,22.80147167,69.17019284,16.70478409,32.15795811
167,40.46910805,30.49613851,64.18841552,32.88069253,64.21158448,74.90386149,22.90386149,69.30772299,16.60386149,32.00386149
168,40.66889481,30.6454372,64.33136263,33.02667111,64.11555259,74.7967865,22.83901021,69.20616955,16.66568132,32.14074568
169,39.91341952,29.77805479,63.56829794,32.35854109,64.96706679,75.62194521,23.71218836,69.97682364,15.83293321,31.32317636
170,41.19327847,31.12030179,64.74732511,33.30137175,63.79862825,74.46213991,22.60809327,68.86213991,16.92839507,32.51083677
171,40.786338,30.84616983,64.486338,33.10086397,63.93930421,74.6179357,22.65212531,69.0350305,16.8692432,32.31625391
172,41.27163316,31.19040862,64.80918408,33.34673499,63.75326501,74.41265274,22.57510183,68.81265274,16.96551045,32.56857181
173,40.56623537,30.83117684,64.56938955,33.05539836,64.05988672,74.73695909,23.06304091,69.30509503,16.67897294,32.29041661
174,40.65039136,31.15587341,64.82663065,33.35117407,63.69451794,74.3569201,22.44047086,68.84882593,17.08459437,32.63498573
175,40.56259475,30.68778424,64.33770844,32.98763264,64.02473471,74.71221576,22.68717786,69.13725366,16.82534109,32.20030319
176,40.62616293,30.7829108,64.4829108,33.03763228,64.04707524,74.72795965,22.91911559,69.22736074,16.72616293,32.25232585
177,40.58065692,30.85109482,64.44671528,33.04233574,63.88211685,74.54890518,22.50145993,69.00109495,17.03175174,32.3843065
178,40.59352948,30.58368427,64.27383906,32.95414864,64.14585136,74.84092875,22.86061917,69.24092875,16.64430344,32.06891646
179,39.98987084,29.87214872,63.65063013,32.42911154,64.86709198,75.52785128,23.60633269,69.88861057,15.93290802,31.41138943
180,41.21399311,31.13883594,64.76367877,33.31336443,63.78663557,74.44905698,22.59937132,68.84905698,16.93820726,32.52610019
181,40.55890289,30.56909762,64.26569937,32.95097365,64.15469009,74.8501591,22.8762123,69.26261932,16.63738068,32.06456662
182,40.56868913,30.93961042,64.65334825,33.16101869,63.92524349,74.59776784,22.81757305,69.13514609,16.83354304,32.41213477
183,40.65953132,30.90879901,64.58137956,33.24897476,63.85102524,74.52609847,22.52859114,68.97844468,16.94398941,32.4312331
184,40.53558768,30.62900535,64.32010843,32.95782998,64.11547925,74.80658233,22.86886078,69.25106694,16.68896921,32.12455689
185,40.17166948,30.0959009,63.84641329,32.59692568,64.62935529,75.3040991,23.35461148,69.6788429,16.17064471,31.6211571
186,40.65943906,30.97831718,64.55076593,33.12321468,63.75357063,74.42168282,22.3579072,68.88545844,17.17398062,32.51020499
187,41.12270041,31.1319256,64.76273667,33.31513361,63.7756412,74.43874044,22.56789311,68.84796563,16.95978246,32.53506109
188,40.69958681,31.1219682,64.68272159,33.18777633,63.65693821,74.31516423,22.31516423,68.82656152,17.27766685,32.64981752
189,40.65728994,30.7276565,64.41937808,33.05522034,64.05305808,74.73857085,22.82756384,69.18203254,16.72210667,32.20903006
190,40.1353748,30.08844284,63.85342555,32.57508645,64.67292972,75.34043837,23.45596318,69.74043837,16.11623983,31.61010374
191,39.92379857,29.79082901,63.57947538,32.36812176,64.95349418,75.60917099,23.69781737,69.96484781,15.84650582,31.33515219
192,40.82218012,30.8344148,64.50994543,33.10391147,64.00016676,74.67977562,22.81027896,69.11240145,16.75497271,32.27731959
193,40.56479024,30.95012169,64.65353171,33.18303106,63.89309885,74.56581874,22.72949936,69.08175918,16.87621104,32.42966162
194,41.16864806,31.09826405,64.72788005,33.28711203,63.81288797,74.47769596,22.61846398,68.87769596,16.91672803,32.49268804
195,40.54506898,30.63520693,64.29915175,32.96309657,64.07380686,74.76479307,22.74676548,69.18282066,16.76224832,32.14422073
196,40.57410399,30.72231198,64.36302878,33.00374559,63.99250882,74.67768802,22.64804643,69.10732962,16.86677437,32.23713278
197,41.15474288,31.08582257,64.71690227,33.27906167,63.82093833,74.48647818,22.62431879,68.88647818,16.91014136,32.48244212
198,40.66684238,30.91874167,64.57948464,33.16171354,63.88267233,74.55322956,22.67754349,69.07754349,16.94022761,32.43837018
199,39.97833175,29.85794677,63.63820343,32.41846008,64.88218155,75.54205323,23.62230988,69.9019249,15.91781845,31.3980751
200,40.55739181,30.67217544,64.32626199,32.98034854,64.03930292,74.72782456,22.70486783,69.15078129,16.80661053,32.1836538
201,40.63271894,31.03436838,64.67848672,33.1759157,63.79835056,74.46342453,22.59614347,68.99614347,17.04006808,32.53087578
202,40.73078312,30.86265918,64.54434306,33.19672115,63.92892142,74.60327885,22.7168388,69.1021859,16.85642568,32.38463853
203,40.60299586,30.94906194,64.60786359,33.14307022,63.86217359,74.53333475,22.64045044,69.04045044,16.96254542,32.4449421
204,40.57400611,31.07859321,64.76513756,33.29021403,63.76269118,74.42905204,22.53669728,68.93669728,17.01712534,32.56513756
205,40.61093193,31.05948278,64.82218344,33.16527201,63.95884363,74.62025861,23.16044888,69.3,16.7398707,32.491959
206,41.27250602,31.19118959,64.80987317,33.34724032,63.75275968,74.41210146,22.57473431,68.81210146,16.9659239,32.56921496
207,40.63805099,30.85413079,64.46709865,33.09807316,63.86687696,74.5428681,22.49785147,68.99388694,17.01715407,32.38714299
208,40.6445832,31.05879452,64.81350168,33.20479701,63.93427953,74.59520299,23.09147505,69.26483111,16.77193678,32.51190267
209,40.75784689,30.89849065,64.5516094,33.15784689,63.89917863,74.575738,22.61480571,68.99917863,16.89300783,32.36723648
210,40.57007853,30.79588714,64.47771863,33.1128311,63.96121389,74.64304538,22.6767869,69.09755091,16.84138161,32.30367364
211,40.59016598,30.58067482,64.27118367,32.95220135,64.14779865,74.84305307,22.86203538,69.24305307,16.6427102,32.06643809
212,40.94046794,31.21224603,64.93098934,33.27486633,63.85324864,74.50639035,23.03120322,69.13131015,16.8249198,32.59978613
213,40.84956818,30.97729501,64.64704392,33.32351529,63.8269032,74.49329087,22.60421154,69.00421154,16.95292941,32.51426857
214,40.5,30.5,64.2,32.9,64.2,74.9,22.9,69.3,16.6,32
215,40.68327608,31.04982824,64.60320737,33.15658651,63.68682698,74.35017176,22.27686133,68.82348219,17.25979389,32.58648345
216,39.87289717,29.72818114,63.52465849,32.32113585,65.02005754,75.67181886,23.76829622,70.02358019,15.77994246,31.27641981
217,41.13732064,31.08258144,64.71611242,33.31054397,63.8050958,74.46990632,22.59111454,68.88163615,16.93234512,32.50438259
218,40.72484742,30.71566997,64.39272636,33.07896019,64.0393947,74.72562853,22.75774959,69.1393947,16.74225041,32.20649253
219,41.25758094,31.17783558,64.79809022,33.33859949,63.76140051,74.42152783,22.58101855,68.82152783,16.95885413,32.55821753
220,40.54441936,30.70729034,64.43690324,32.98883872,64.12596774,74.81116128,23.04806453,69.32961291,16.62961291,32.17767743
221,40.51039214,30.54849668,64.25542477,32.92078429,64.18267976,74.87921571,22.93464048,69.3069281,16.6069281,32.04156858
222,41.02090995,30.9999538,64.65205403,33.21434221,63.88865153,74.55871417,22.71438841,68.98266406,16.84848003,32.41313547
223,40.68818246,30.89602577,64.56513014,33.17525195,63.89666111,74.57419157,22.60789589,69.0022785,16.88648672,32.37074753
224,40.39478424,30.32074351,64.04412479,32.75191855,64.44550345,75.11822529,23.18836913,69.49874089,16.33890903,31.81684663
225,40.57663635,30.60798759,64.30798759,32.959219,64.14426447,74.83729753,22.90696694,69.26516529,16.63831818,32.09057024
